Value,Count,Clip_OutRaster_LC20_BPS_220_tif,Clip_OutRaster_LC22_EVT_230_tif,BPS_MODEL,BPS_NAME,GROUPVEG,FRI_REPLAC,FRI_MIXED,FRI_SURFAC,FRI_ALLFIR,EVT_NAME,EVT_PHYS
3524,82.000000000000000,430,9328,10800_10_19,Inter-Mountain Basins Big Sagebrush Shrubland,Shrubland,80,-9999,-9999,80,Interior Western North American Temperate Ruderal Shrubland,Exotic Tree-Shrub
3525,23.000000000000000,442,7125,11420_9_10,Columbia Basin Palouse Prairie,Grassland,25,-9999,-9999,25,Inter-Mountain Basins Big Sagebrush Steppe,Shrubland
3526,2.000000000000000,434,9022,11240_10_12_17_18_19_21,Columbia Plateau Low Sagebrush Steppe,Shrubland,201,-9999,-9999,201,Rocky Mountain Subalpine-Montane Riparian Woodland,Riparian
3527,24.000000000000000,431,9021,11060_10_19,Northern Rocky Mountain Montane-Foothill Deciduous Shrubland,Shrubland,100,446,-9999,82,Rocky Mountain Subalpine-Montane Riparian Shrubland,Riparian
3528,475.000000000000000,427,7166,10650_1_8_9_10,Columbia Plateau Scabland Shrubland,Shrubland,253,-9999,-9999,253,Middle Rocky Mountain Montane Douglas-fir Forest and Woodland,Conifer
3529,4488.000000000000000,449,7295,11660_9_10_19,Middle Rocky Mountain Montane Douglas-fir Forest and Woodland,Conifer,112,54,106,27,Quarries-Strip Mines-Gravel Pits-Well and Wind Pads,Quarries-Strip Mines-Gravel Pits-Well and Wind Pads
3530,2681.000000000000000,423,7295,10530_10_19,Northern Rocky Mountain Ponderosa Pine Woodland and Savanna,Conifer,354,56,17,13,Quarries-Strip Mines-Gravel Pits-Well and Wind Pads,Quarries-Strip Mines-Gravel Pits-Well and Wind Pads
3531,10.000000000000000,430,7062,10800_10_19,Inter-Mountain Basins Big Sagebrush Shrubland,Shrubland,80,-9999,-9999,80,Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland,Conifer
3532,55.000000000000000,432,7250,11150_10_19,Inter-Mountain Basins Juniper Savanna,Conifer,824,438,560,189,Inter-Mountain Basins Curl-leaf Mountain Mahogany Shrubland,Shrubland
3533,12.000000000000000,432,9018,11150_10_19,Inter-Mountain Basins Juniper Savanna,Conifer,824,438,560,189,Rocky Mountain Cliff Canyon and Massive Bedrock,Sparsely Vegetated
3534,372.000000000000000,432,7126,11150_10_19,Inter-Mountain Basins Juniper Savanna,Conifer,824,438,560,189,Inter-Mountain Basins Montane Sagebrush Steppe,Shrubland
3535,214.000000000000000,432,7166,11150_10_19,Inter-Mountain Basins Juniper Savanna,Conifer,824,438,560,189,Middle Rocky Mountain Montane Douglas-fir Forest and Woodland,Conifer
3536,93255.000000000000000,464,7050,10550_10_19,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,Conifer,205,412,-9999,137,Rocky Mountain Lodgepole Pine Forest,Conifer
3537,77940.000000000000000,464,7046,10550_10_19,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,Conifer,205,412,-9999,137,Northern Rocky Mountain Subalpine Woodland and Parkland,Conifer
3538,48806.000000000000000,487,7050,11670_10_19,Rocky Mountain Poor-Site Lodgepole Pine Forest,Conifer,335,2500,-9999,295,Rocky Mountain Lodgepole Pine Forest,Conifer
3539,4862.000000000000000,487,7055,11670_10_19,Rocky Mountain Poor-Site Lodgepole Pine Forest,Conifer,335,2500,-9999,295,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,Conifer
3540,130.000000000000000,465,7299,10560_10_19,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,Conifer,181,-9999,-9999,181,Developed-Roads,Developed-Roads
3541,26.000000000000000,487,7901,11670_10_19,Rocky Mountain Poor-Site Lodgepole Pine Forest,Conifer,335,2500,-9999,295,Western Cool Temperate Urban Evergreen Forest,Developed
3542,17092.000000000000000,487,7046,11670_10_19,Rocky Mountain Poor-Site Lodgepole Pine Forest,Conifer,335,2500,-9999,295,Northern Rocky Mountain Subalpine Woodland and Parkland,Conifer
3543,3.000000000000000,459,7296,10460_10_19_20,Northern Rocky Mountain Subalpine Woodland and Parkland,Conifer,401,340,-9999,184,Developed-Low Intensity,Developed-Low Intensity
3544,93.000000000000000,464,7299,10550_10_19,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,Conifer,205,412,-9999,137,Developed-Roads,Developed-Roads
3545,49.000000000000000,464,7901,10550_10_19,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,Conifer,205,412,-9999,137,Western Cool Temperate Urban Evergreen Forest,Developed
3546,156.000000000000000,486,7901,11662_19,Middle Rocky Mountain Montane Douglas-fir Forest and Woodland-Fire-maintained Savanna,Conifer,202,151,23,18,Western Cool Temperate Urban Evergreen Forest,Developed
3547,90.000000000000000,474,7296,11260_1_7_8_9_10_19,Inter-Mountain Basins Montane Sagebrush Steppe,Shrubland,31,-9999,-9999,31,Developed-Low Intensity,Developed-Low Intensity
3548,58.000000000000000,470,7299,11060_10_19,Northern Rocky Mountain Montane-Foothill Deciduous Shrubland,Shrubland,100,446,-9999,82,Developed-Roads,Developed-Roads
3549,28.000000000000000,487,7299,11670_10_19,Rocky Mountain Poor-Site Lodgepole Pine Forest,Conifer,335,2500,-9999,295,Developed-Roads,Developed-Roads
3550,12.000000000000000,464,7296,10550_10_19,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,Conifer,205,412,-9999,137,Developed-Low Intensity,Developed-Low Intensity
3551,906.000000000000000,464,7169,10550_10_19,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,Conifer,205,412,-9999,137,Northern Rocky Mountain Subalpine Deciduous Shrubland,Shrubland
3552,116.000000000000000,474,7297,11260_1_7_8_9_10_19,Inter-Mountain Basins Montane Sagebrush Steppe,Shrubland,31,-9999,-9999,31,Developed-Medium Intensity,Developed-Medium Intensity
3553,5119.000000000000000,474,7299,11260_1_7_8_9_10_19,Inter-Mountain Basins Montane Sagebrush Steppe,Shrubland,31,-9999,-9999,31,Developed-Roads,Developed-Roads
3554,94960.000000000000000,464,7055,10550_10_19,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,Conifer,205,412,-9999,137,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,Conifer
3555,100685.000000000000000,464,7126,10550_10_19,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,Conifer,205,412,-9999,137,Inter-Mountain Basins Montane Sagebrush Steppe,Shrubland
3556,853.000000000000000,487,7169,11670_10_19,Rocky Mountain Poor-Site Lodgepole Pine Forest,Conifer,335,2500,-9999,295,Northern Rocky Mountain Subalpine Deciduous Shrubland,Shrubland
3557,9.000000000000000,487,7296,11670_10_19,Rocky Mountain Poor-Site Lodgepole Pine Forest,Conifer,335,2500,-9999,295,Developed-Low Intensity,Developed-Low Intensity
3558,7.000000000000000,487,7904,11670_10_19,Rocky Mountain Poor-Site Lodgepole Pine Forest,Conifer,335,2500,-9999,295,Western Cool Temperate Urban Shrubland,Developed
3559,7.000000000000000,464,7904,10550_10_19,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,Conifer,205,412,-9999,137,Western Cool Temperate Urban Shrubland,Developed
3560,361.000000000000000,487,7056,11670_10_19,Rocky Mountain Poor-Site Lodgepole Pine Forest,Conifer,335,2500,-9999,295,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,Conifer
3561,2141697.000000000000000,474,7126,11260_1_7_8_9_10_19,Inter-Mountain Basins Montane Sagebrush Steppe,Shrubland,31,-9999,-9999,31,Inter-Mountain Basins Montane Sagebrush Steppe,Shrubland
3562,47283.000000000000000,475,7126,11390_10_19,Northern Rocky Mountain Lower Montane-Foothill-Valley Grassland,Grassland,17,-9999,-9999,17,Inter-Mountain Basins Montane Sagebrush Steppe,Shrubland
3563,3946.000000000000000,465,7046,10560_10_19,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,Conifer,181,-9999,-9999,181,Northern Rocky Mountain Subalpine Woodland and Parkland,Conifer
3564,2.000000000000000,487,7297,11670_10_19,Rocky Mountain Poor-Site Lodgepole Pine Forest,Conifer,335,2500,-9999,295,Developed-Medium Intensity,Developed-Medium Intensity
3565,88.000000000000000,475,7299,11390_10_19,Northern Rocky Mountain Lower Montane-Foothill-Valley Grassland,Grassland,17,-9999,-9999,17,Developed-Roads,Developed-Roads
3566,16255.000000000000000,487,7126,11670_10_19,Rocky Mountain Poor-Site Lodgepole Pine Forest,Conifer,335,2500,-9999,295,Inter-Mountain Basins Montane Sagebrush Steppe,Shrubland
3567,106943.000000000000000,485,7050,11660_9_10_19,Middle Rocky Mountain Montane Douglas-fir Forest and Woodland,Conifer,112,54,106,27,Rocky Mountain Lodgepole Pine Forest,Conifer
3568,504086.000000000000000,485,7166,11660_9_10_19,Middle Rocky Mountain Montane Douglas-fir Forest and Woodland,Conifer,112,54,106,27,Middle Rocky Mountain Montane Douglas-fir Forest and Woodland,Conifer
3569,58667.000000000000000,485,7055,11660_9_10_19,Middle Rocky Mountain Montane Douglas-fir Forest and Woodland,Conifer,112,54,106,27,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,Conifer
3570,411.000000000000000,473,7050,11250_1_7_8_9_10_19,Inter-Mountain Basins Big Sagebrush Steppe,Shrubland,59,-9999,-9999,59,Rocky Mountain Lodgepole Pine Forest,Conifer
3571,156357.000000000000000,485,7126,11660_9_10_19,Middle Rocky Mountain Montane Douglas-fir Forest and Woodland,Conifer,112,54,106,27,Inter-Mountain Basins Montane Sagebrush Steppe,Shrubland
3572,9.000000000000000,485,7296,11660_9_10_19,Middle Rocky Mountain Montane Douglas-fir Forest and Woodland,Conifer,112,54,106,27,Developed-Low Intensity,Developed-Low Intensity
3573,62325.000000000000000,473,7299,11250_1_7_8_9_10_19,Inter-Mountain Basins Big Sagebrush Steppe,Shrubland,59,-9999,-9999,59,Developed-Roads,Developed-Roads
3574,159.000000000000000,485,7901,11660_9_10_19,Middle Rocky Mountain Montane Douglas-fir Forest and Woodland,Conifer,112,54,106,27,Western Cool Temperate Urban Evergreen Forest,Developed
3575,8307.000000000000000,465,7050,10560_10_19,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,Conifer,181,-9999,-9999,181,Rocky Mountain Lodgepole Pine Forest,Conifer
3576,65.000000000000000,475,7169,11390_10_19,Northern Rocky Mountain Lower Montane-Foothill-Valley Grassland,Grassland,17,-9999,-9999,17,Northern Rocky Mountain Subalpine Deciduous Shrubland,Shrubland
3577,392.000000000000000,485,7169,11660_9_10_19,Middle Rocky Mountain Montane Douglas-fir Forest and Woodland,Conifer,112,54,106,27,Northern Rocky Mountain Subalpine Deciduous Shrubland,Shrubland
3578,3236.000000000000000,485,7056,11660_9_10_19,Middle Rocky Mountain Montane Douglas-fir Forest and Woodland,Conifer,112,54,106,27,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,Conifer
3579,3914.000000000000000,486,7050,11662_19,Middle Rocky Mountain Montane Douglas-fir Forest and Woodland-Fire-maintained Savanna,Conifer,202,151,23,18,Rocky Mountain Lodgepole Pine Forest,Conifer
3580,1411.000000000000000,483,7296,11600_10_19,Rocky Mountain Subalpine/Upper Montane Riparian Systems,Riparian,201,133,-9999,80,Developed-Low Intensity,Developed-Low Intensity
3581,393.000000000000000,483,7297,11600_10_19,Rocky Mountain Subalpine/Upper Montane Riparian Systems,Riparian,201,133,-9999,80,Developed-Medium Intensity,Developed-Medium Intensity
3582,2858.000000000000000,473,7297,11250_1_7_8_9_10_19,Inter-Mountain Basins Big Sagebrush Steppe,Shrubland,59,-9999,-9999,59,Developed-Medium Intensity,Developed-Medium Intensity
3583,422.000000000000000,483,7901,11600_10_19,Rocky Mountain Subalpine/Upper Montane Riparian Systems,Riparian,201,133,-9999,80,Western Cool Temperate Urban Evergreen Forest,Developed
3584,26253.000000000000000,483,7050,11600_10_19,Rocky Mountain Subalpine/Upper Montane Riparian Systems,Riparian,201,133,-9999,80,Rocky Mountain Lodgepole Pine Forest,Conifer
3585,9184.000000000000000,483,7055,11600_10_19,Rocky Mountain Subalpine/Upper Montane Riparian Systems,Riparian,201,133,-9999,80,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,Conifer
3586,484.000000000000000,483,7056,11600_10_19,Rocky Mountain Subalpine/Upper Montane Riparian Systems,Riparian,201,133,-9999,80,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,Conifer
3587,5929.000000000000000,485,7106,11660_9_10_19,Middle Rocky Mountain Montane Douglas-fir Forest and Woodland,Conifer,112,54,106,27,Northern Rocky Mountain Montane-Foothill Deciduous Shrubland,Shrubland
3588,213.000000000000000,485,7299,11660_9_10_19,Middle Rocky Mountain Montane Douglas-fir Forest and Woodland,Conifer,112,54,106,27,Developed-Roads,Developed-Roads
3589,5552.000000000000000,484,7050,11610_9_10_19,Northern Rocky Mountain Conifer Swamp,Conifer,386,-9999,-9999,386,Rocky Mountain Lodgepole Pine Forest,Conifer
3590,2865.000000000000000,484,7055,11610_9_10_19,Northern Rocky Mountain Conifer Swamp,Conifer,386,-9999,-9999,386,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,Conifer
3591,90.000000000000000,486,7299,11662_19,Middle Rocky Mountain Montane Douglas-fir Forest and Woodland-Fire-maintained Savanna,Conifer,202,151,23,18,Developed-Roads,Developed-Roads
3592,39.000000000000000,474,7056,11260_1_7_8_9_10_19,Inter-Mountain Basins Montane Sagebrush Steppe,Shrubland,31,-9999,-9999,31,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,Conifer
3593,237.000000000000000,484,7056,11610_9_10_19,Northern Rocky Mountain Conifer Swamp,Conifer,386,-9999,-9999,386,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,Conifer
3594,54274.000000000000000,459,7050,10460_10_19_20,Northern Rocky Mountain Subalpine Woodland and Parkland,Conifer,401,340,-9999,184,Rocky Mountain Lodgepole Pine Forest,Conifer
3595,2575.000000000000000,464,7056,10550_10_19,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,Conifer,205,412,-9999,137,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,Conifer
3596,386.000000000000000,465,7056,10560_10_19,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,Conifer,181,-9999,-9999,181,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,Conifer
3597,5956.000000000000000,465,7055,10560_10_19,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,Conifer,181,-9999,-9999,181,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,Conifer
3598,7.000000000000000,470,7901,11060_10_19,Northern Rocky Mountain Montane-Foothill Deciduous Shrubland,Shrubland,100,446,-9999,82,Western Cool Temperate Urban Evergreen Forest,Developed
3599,60648.000000000000000,474,7140,11260_1_7_8_9_10_19,Inter-Mountain Basins Montane Sagebrush Steppe,Shrubland,31,-9999,-9999,31,Northern Rocky Mountain Subalpine-Upper Montane Grassland,Grassland
3600,1681.000000000000000,485,7145,11660_9_10_19,Middle Rocky Mountain Montane Douglas-fir Forest and Woodland,Conifer,112,54,106,27,Rocky Mountain Subalpine-Montane Mesic Meadow,Grassland
3601,318.000000000000000,473,7169,11250_1_7_8_9_10_19,Inter-Mountain Basins Big Sagebrush Steppe,Shrubland,59,-9999,-9999,59,Northern Rocky Mountain Subalpine Deciduous Shrubland,Shrubland
3602,2.000000000000000,479,7299,11450_9_10_19,Rocky Mountain Subalpine-Montane Mesic Meadow,Grassland,40,160,-9999,32,Developed-Roads,Developed-Roads
3603,1306.000000000000000,485,7139,11660_9_10_19,Middle Rocky Mountain Montane Douglas-fir Forest and Woodland,Conifer,112,54,106,27,Northern Rocky Mountain Lower Montane-Foothill-Valley Grassland,Grassland
3604,477.000000000000000,473,7901,11250_1_7_8_9_10_19,Inter-Mountain Basins Big Sagebrush Steppe,Shrubland,59,-9999,-9999,59,Western Cool Temperate Urban Evergreen Forest,Developed
3605,755.000000000000000,473,7046,11250_1_7_8_9_10_19,Inter-Mountain Basins Big Sagebrush Steppe,Shrubland,59,-9999,-9999,59,Northern Rocky Mountain Subalpine Woodland and Parkland,Conifer
3606,91780.000000000000000,459,7055,10460_10_19_20,Northern Rocky Mountain Subalpine Woodland and Parkland,Conifer,401,340,-9999,184,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,Conifer
3607,56.000000000000000,470,7169,11060_10_19,Northern Rocky Mountain Montane-Foothill Deciduous Shrubland,Shrubland,100,446,-9999,82,Northern Rocky Mountain Subalpine Deciduous Shrubland,Shrubland
3608,219570.000000000000000,459,7046,10460_10_19_20,Northern Rocky Mountain Subalpine Woodland and Parkland,Conifer,401,340,-9999,184,Northern Rocky Mountain Subalpine Woodland and Parkland,Conifer
3609,171.000000000000000,479,7050,11450_9_10_19,Rocky Mountain Subalpine-Montane Mesic Meadow,Grassland,40,160,-9999,32,Rocky Mountain Lodgepole Pine Forest,Conifer
3610,15.000000000000000,476,7169,11400_10_19,Northern Rocky Mountain Subalpine-Upper Montane Grassland,Grassland,146,-9999,-9999,146,Northern Rocky Mountain Subalpine Deciduous Shrubland,Shrubland
3611,99.000000000000000,479,7169,11450_9_10_19,Rocky Mountain Subalpine-Montane Mesic Meadow,Grassland,40,160,-9999,32,Northern Rocky Mountain Subalpine Deciduous Shrubland,Shrubland
3612,13301.000000000000000,485,7046,11660_9_10_19,Middle Rocky Mountain Montane Douglas-fir Forest and Woodland,Conifer,112,54,106,27,Northern Rocky Mountain Subalpine Woodland and Parkland,Conifer
3613,8025.000000000000000,487,7166,11670_10_19,Rocky Mountain Poor-Site Lodgepole Pine Forest,Conifer,335,2500,-9999,295,Middle Rocky Mountain Montane Douglas-fir Forest and Woodland,Conifer
3614,175.000000000000000,479,7055,11450_9_10_19,Rocky Mountain Subalpine-Montane Mesic Meadow,Grassland,40,160,-9999,32,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,Conifer
3615,48702.000000000000000,473,7904,11250_1_7_8_9_10_19,Inter-Mountain Basins Big Sagebrush Steppe,Shrubland,59,-9999,-9999,59,Western Cool Temperate Urban Shrubland,Developed
3616,1510.000000000000000,470,7145,11060_10_19,Northern Rocky Mountain Montane-Foothill Deciduous Shrubland,Shrubland,100,446,-9999,82,Rocky Mountain Subalpine-Montane Mesic Meadow,Grassland
3617,204.000000000000000,470,7046,11060_10_19,Northern Rocky Mountain Montane-Foothill Deciduous Shrubland,Shrubland,100,446,-9999,82,Northern Rocky Mountain Subalpine Woodland and Parkland,Conifer
3618,20.000000000000000,485,7900,11660_9_10_19,Middle Rocky Mountain Montane Douglas-fir Forest and Woodland,Conifer,112,54,106,27,Western Cool Temperate Urban Deciduous Forest,Developed
3619,3.000000000000000,470,7900,11060_10_19,Northern Rocky Mountain Montane-Foothill Deciduous Shrubland,Shrubland,100,446,-9999,82,Western Cool Temperate Urban Deciduous Forest,Developed
3620,56.000000000000000,459,7299,10460_10_19_20,Northern Rocky Mountain Subalpine Woodland and Parkland,Conifer,401,340,-9999,184,Developed-Roads,Developed-Roads
3621,8.000000000000000,486,7056,11662_19,Middle Rocky Mountain Montane Douglas-fir Forest and Woodland-Fire-maintained Savanna,Conifer,202,151,23,18,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,Conifer
3622,11.000000000000000,459,7901,10460_10_19_20,Northern Rocky Mountain Subalpine Woodland and Parkland,Conifer,401,340,-9999,184,Western Cool Temperate Urban Evergreen Forest,Developed
3623,1609.000000000000000,459,7056,10460_10_19_20,Northern Rocky Mountain Subalpine Woodland and Parkland,Conifer,401,340,-9999,184,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,Conifer
3624,813.000000000000000,470,7139,11060_10_19,Northern Rocky Mountain Montane-Foothill Deciduous Shrubland,Shrubland,100,446,-9999,82,Northern Rocky Mountain Lower Montane-Foothill-Valley Grassland,Grassland
3625,31.000000000000000,485,7904,11660_9_10_19,Middle Rocky Mountain Montane Douglas-fir Forest and Woodland,Conifer,112,54,106,27,Western Cool Temperate Urban Shrubland,Developed
3626,2.000000000000000,485,7903,11660_9_10_19,Middle Rocky Mountain Montane Douglas-fir Forest and Woodland,Conifer,112,54,106,27,Western Cool Temperate Urban Herbaceous,Developed
3627,967934.000000000000000,473,7126,11250_1_7_8_9_10_19,Inter-Mountain Basins Big Sagebrush Steppe,Shrubland,59,-9999,-9999,59,Inter-Mountain Basins Montane Sagebrush Steppe,Shrubland
3628,665.000000000000000,473,7900,11250_1_7_8_9_10_19,Inter-Mountain Basins Big Sagebrush Steppe,Shrubland,59,-9999,-9999,59,Western Cool Temperate Urban Deciduous Forest,Developed
3629,5236.000000000000000,483,7904,11600_10_19,Rocky Mountain Subalpine/Upper Montane Riparian Systems,Riparian,201,133,-9999,80,Western Cool Temperate Urban Shrubland,Developed
3630,13.000000000000000,484,7901,11610_9_10_19,Northern Rocky Mountain Conifer Swamp,Conifer,386,-9999,-9999,386,Western Cool Temperate Urban Evergreen Forest,Developed
3631,10894.000000000000000,483,7299,11600_10_19,Rocky Mountain Subalpine/Upper Montane Riparian Systems,Riparian,201,133,-9999,80,Developed-Roads,Developed-Roads
3632,67.000000000000000,465,7901,10560_10_19,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,Conifer,181,-9999,-9999,181,Western Cool Temperate Urban Evergreen Forest,Developed
3633,50182.000000000000000,456,7050,10451_10_19,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest-Ponderosa Pine-Douglas-fir,Conifer,148,51,39,19,Rocky Mountain Lodgepole Pine Forest,Conifer
3634,1272.000000000000000,456,7056,10451_10_19,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest-Ponderosa Pine-Douglas-fir,Conifer,148,51,39,19,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,Conifer
3635,304.000000000000000,484,9022,11610_9_10_19,Northern Rocky Mountain Conifer Swamp,Conifer,386,-9999,-9999,386,Rocky Mountain Subalpine-Montane Riparian Woodland,Riparian
3636,22963.000000000000000,456,7055,10451_10_19,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest-Ponderosa Pine-Douglas-fir,Conifer,148,51,39,19,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,Conifer
3637,13.000000000000000,484,7047,11610_9_10_19,Northern Rocky Mountain Conifer Swamp,Conifer,386,-9999,-9999,386,Northern Rocky Mountain Mesic Montane Mixed Conifer Forest,Conifer
3638,14299.000000000000000,483,9022,11600_10_19,Rocky Mountain Subalpine/Upper Montane Riparian Systems,Riparian,201,133,-9999,80,Rocky Mountain Subalpine-Montane Riparian Woodland,Riparian
3639,165.000000000000000,485,7047,11660_9_10_19,Middle Rocky Mountain Montane Douglas-fir Forest and Woodland,Conifer,112,54,106,27,Northern Rocky Mountain Mesic Montane Mixed Conifer Forest,Conifer
3640,8.000000000000000,470,7056,11060_10_19,Northern Rocky Mountain Montane-Foothill Deciduous Shrubland,Shrubland,100,446,-9999,82,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,Conifer
3641,294.000000000000000,486,7055,11662_19,Middle Rocky Mountain Montane Douglas-fir Forest and Woodland-Fire-maintained Savanna,Conifer,202,151,23,18,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,Conifer
3642,5.000000000000000,485,7297,11660_9_10_19,Middle Rocky Mountain Montane Douglas-fir Forest and Woodland,Conifer,112,54,106,27,Developed-Medium Intensity,Developed-Medium Intensity
3643,4937.000000000000000,473,7296,11250_1_7_8_9_10_19,Inter-Mountain Basins Big Sagebrush Steppe,Shrubland,59,-9999,-9999,59,Developed-Low Intensity,Developed-Low Intensity
3644,9.000000000000000,475,7296,11390_10_19,Northern Rocky Mountain Lower Montane-Foothill-Valley Grassland,Grassland,17,-9999,-9999,17,Developed-Low Intensity,Developed-Low Intensity
3645,3.000000000000000,464,7900,10550_10_19,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,Conifer,205,412,-9999,137,Western Cool Temperate Urban Deciduous Forest,Developed
3646,1.000000000000000,479,7903,11450_9_10_19,Rocky Mountain Subalpine-Montane Mesic Meadow,Grassland,40,160,-9999,32,Western Cool Temperate Urban Herbaceous,Developed
3647,9.000000000000000,470,7904,11060_10_19,Northern Rocky Mountain Montane-Foothill Deciduous Shrubland,Shrubland,100,446,-9999,82,Western Cool Temperate Urban Shrubland,Developed
3648,5.000000000000000,470,7903,11060_10_19,Northern Rocky Mountain Montane-Foothill Deciduous Shrubland,Shrubland,100,446,-9999,82,Western Cool Temperate Urban Herbaceous,Developed
3649,3.000000000000000,479,7904,11450_9_10_19,Rocky Mountain Subalpine-Montane Mesic Meadow,Grassland,40,160,-9999,32,Western Cool Temperate Urban Shrubland,Developed
3650,18.000000000000000,475,7901,11390_10_19,Northern Rocky Mountain Lower Montane-Foothill-Valley Grassland,Grassland,17,-9999,-9999,17,Western Cool Temperate Urban Evergreen Forest,Developed
3651,21408.000000000000000,473,7903,11250_1_7_8_9_10_19,Inter-Mountain Basins Big Sagebrush Steppe,Shrubland,59,-9999,-9999,59,Western Cool Temperate Urban Herbaceous,Developed
3652,610.000000000000000,482,7045,11590_10_19,Rocky Mountain Montane Riparian Systems,Riparian,100,101,-9999,50,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest,Conifer
3653,2.000000000000000,479,7901,11450_9_10_19,Rocky Mountain Subalpine-Montane Mesic Meadow,Grassland,40,160,-9999,32,Western Cool Temperate Urban Evergreen Forest,Developed
3654,250.000000000000000,482,7901,11590_10_19,Rocky Mountain Montane Riparian Systems,Riparian,100,101,-9999,50,Western Cool Temperate Urban Evergreen Forest,Developed
3655,9622.000000000000000,483,9012,11600_10_19,Rocky Mountain Subalpine/Upper Montane Riparian Systems,Riparian,201,133,-9999,80,Northern Rocky Mountain Lower Montane Riparian Woodland,Riparian
3656,21.000000000000000,482,7047,11590_10_19,Rocky Mountain Montane Riparian Systems,Riparian,100,101,-9999,50,Northern Rocky Mountain Mesic Montane Mixed Conifer Forest,Conifer
3657,50.000000000000000,475,7904,11390_10_19,Northern Rocky Mountain Lower Montane-Foothill-Valley Grassland,Grassland,17,-9999,-9999,17,Western Cool Temperate Urban Shrubland,Developed
3658,2906.000000000000000,483,7045,11600_10_19,Rocky Mountain Subalpine/Upper Montane Riparian Systems,Riparian,201,133,-9999,80,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest,Conifer
3659,22.000000000000000,482,7145,11590_10_19,Rocky Mountain Montane Riparian Systems,Riparian,100,101,-9999,50,Rocky Mountain Subalpine-Montane Mesic Meadow,Grassland
3660,1266.000000000000000,482,7904,11590_10_19,Rocky Mountain Montane Riparian Systems,Riparian,100,101,-9999,50,Western Cool Temperate Urban Shrubland,Developed
3661,36.000000000000000,486,7904,11662_19,Middle Rocky Mountain Montane Douglas-fir Forest and Woodland-Fire-maintained Savanna,Conifer,202,151,23,18,Western Cool Temperate Urban Shrubland,Developed
3662,1575.000000000000000,487,7145,11670_10_19,Rocky Mountain Poor-Site Lodgepole Pine Forest,Conifer,335,2500,-9999,295,Rocky Mountain Subalpine-Montane Mesic Meadow,Grassland
