Value,Count,Clip_OutRaster_LC20_BPS_220_tif,Clip_OutRaster_LC22_EVT_230_tif,BPS_MODEL,BPS_NAME,GROUPVEG,FRI_REPLAC,FRI_MIXED,FRI_SURFAC,FRI_ALLFIR,EVT_NAME,EVT_PHYS
26,358502.000000000000000,425,9018,10560_10_19,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,Conifer,181,-9999,-9999,181,Rocky Mountain Cliff Canyon and Massive Bedrock,Sparsely Vegetated
27,1854606.000000000000000,420,9018,10460_10_19_20,Northern Rocky Mountain Subalpine Woodland and Parkland,Conifer,401,340,-9999,184,Rocky Mountain Cliff Canyon and Massive Bedrock,Sparsely Vegetated
28,288280.000000000000000,425,7140,10560_10_19,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,Conifer,181,-9999,-9999,181,Northern Rocky Mountain Subalpine-Upper Montane Grassland,Grassland
29,201397.000000000000000,420,7140,10460_10_19_20,Northern Rocky Mountain Subalpine Woodland and Parkland,Conifer,401,340,-9999,184,Northern Rocky Mountain Subalpine-Upper Montane Grassland,Grassland
30,1687991.000000000000000,420,7169,10460_10_19_20,Northern Rocky Mountain Subalpine Woodland and Parkland,Conifer,401,340,-9999,184,Northern Rocky Mountain Subalpine Deciduous Shrubland,Shrubland
31,900803.000000000000000,425,7045,10560_10_19,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,Conifer,181,-9999,-9999,181,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest,Conifer
32,1165683.000000000000000,425,7169,10560_10_19,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,Conifer,181,-9999,-9999,181,Northern Rocky Mountain Subalpine Deciduous Shrubland,Shrubland
33,183225.000000000000000,420,7145,10460_10_19_20,Northern Rocky Mountain Subalpine Woodland and Parkland,Conifer,401,340,-9999,184,Rocky Mountain Subalpine-Montane Mesic Meadow,Grassland
34,56690.000000000000000,425,7168,10560_10_19,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,Conifer,181,-9999,-9999,181,Northern Rocky Mountain Avalanche Chute Shrubland,Shrubland
35,444528.000000000000000,425,7145,10560_10_19,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,Conifer,181,-9999,-9999,181,Rocky Mountain Subalpine-Montane Mesic Meadow,Grassland
36,967.000000000000000,420,7045,10460_10_19_20,Northern Rocky Mountain Subalpine Woodland and Parkland,Conifer,401,340,-9999,184,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest,Conifer
37,88203.000000000000000,421,7055,10470_10_19,Northern Rocky Mountain Mesic Montane Mixed Conifer Forest,Conifer,186,139,-9999,80,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,Conifer
38,9170.000000000000000,425,9021,10560_10_19,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,Conifer,181,-9999,-9999,181,Rocky Mountain Subalpine-Montane Riparian Shrubland,Riparian
39,102156.000000000000000,421,7056,10470_10_19,Northern Rocky Mountain Mesic Montane Mixed Conifer Forest,Conifer,186,139,-9999,80,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,Conifer
40,2650.000000000000000,428,7169,10700_10_19_28,Rocky Mountain Alpine Dwarf-Shrubland,Shrubland,228,-9999,-9999,228,Northern Rocky Mountain Subalpine Deciduous Shrubland,Shrubland
41,78.000000000000000,428,7046,10700_10_19_28,Rocky Mountain Alpine Dwarf-Shrubland,Shrubland,228,-9999,-9999,228,Northern Rocky Mountain Subalpine Woodland and Parkland,Conifer
42,183338.000000000000000,31,9018,0,Barren-Rock/Sand/Clay,Barren-Rock/Sand/Clay,-9999,-9999,-9999,-9999,Rocky Mountain Cliff Canyon and Massive Bedrock,Sparsely Vegetated
43,658.000000000000000,428,7140,10700_10_19_28,Rocky Mountain Alpine Dwarf-Shrubland,Shrubland,228,-9999,-9999,228,Northern Rocky Mountain Subalpine-Upper Montane Grassland,Grassland
44,42737.000000000000000,415,9018,10060,Rocky Mountain Alpine/Montane Sparsely Vegetated Systems,Sparse,-9999,-9999,-9999,-9999,Rocky Mountain Cliff Canyon and Massive Bedrock,Sparsely Vegetated
45,178975.000000000000000,421,7050,10470_10_19,Northern Rocky Mountain Mesic Montane Mixed Conifer Forest,Conifer,186,139,-9999,80,Rocky Mountain Lodgepole Pine Forest,Conifer
46,561039.000000000000000,420,7050,10460_10_19_20,Northern Rocky Mountain Subalpine Woodland and Parkland,Conifer,401,340,-9999,184,Rocky Mountain Lodgepole Pine Forest,Conifer
47,374551.000000000000000,419,7169,10453_10_19,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest-Grand Fir,Conifer,223,106,-9999,72,Northern Rocky Mountain Subalpine Deciduous Shrubland,Shrubland
48,161476.000000000000000,421,7169,10470_10_19,Northern Rocky Mountain Mesic Montane Mixed Conifer Forest,Conifer,186,139,-9999,80,Northern Rocky Mountain Subalpine Deciduous Shrubland,Shrubland
49,183112.000000000000000,421,7053,10470_10_19,Northern Rocky Mountain Mesic Montane Mixed Conifer Forest,Conifer,186,139,-9999,80,Northern Rocky Mountain Ponderosa Pine Woodland and Savanna,Conifer
50,148732.000000000000000,441,7169,11400_10_19,Northern Rocky Mountain Subalpine-Upper Montane Grassland,Grassland,146,-9999,-9999,146,Northern Rocky Mountain Subalpine Deciduous Shrubland,Shrubland
51,13832.000000000000000,421,7010,10470_10_19,Northern Rocky Mountain Mesic Montane Mixed Conifer Forest,Conifer,186,139,-9999,80,Northern Rocky Mountain Western Larch Savanna,Conifer
52,884830.000000000000000,424,7169,10550_10_19,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,Conifer,205,412,-9999,137,Northern Rocky Mountain Subalpine Deciduous Shrubland,Shrubland
53,164.000000000000000,420,7168,10460_10_19_20,Northern Rocky Mountain Subalpine Woodland and Parkland,Conifer,401,340,-9999,184,Northern Rocky Mountain Avalanche Chute Shrubland,Shrubland
54,31233.000000000000000,421,9018,10470_10_19,Northern Rocky Mountain Mesic Montane Mixed Conifer Forest,Conifer,186,139,-9999,80,Rocky Mountain Cliff Canyon and Massive Bedrock,Sparsely Vegetated
55,63158.000000000000000,441,9018,11400_10_19,Northern Rocky Mountain Subalpine-Upper Montane Grassland,Grassland,146,-9999,-9999,146,Rocky Mountain Cliff Canyon and Massive Bedrock,Sparsely Vegetated
